"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
110678668,"Suero, Wander",AAA,2022,ANA,20,0,23.2,6.08,0.3929205357,4.966,0.388235,0.247191,0.393258,0.247191,0.066667,0.080357,0.133929,13.800,15.200,28.100,86.57619447212518
111835734,"Jimenez, Cristian",Rk-,2021,MIN,9,1,14.2,4.3,0.3748407895,3.824,0.354167,0.121951,0.585366,0.195122,0.090909,0.092105,0.223684,7.500,30.200,31.000,85.445003
111813748,"Semple, Shawn",AAA,2022,NYY,4,1,11.0,11.45,0.531566129,10.205,0.386364,0.213115,0.344262,0.327869,0.192308,0.096774,0.096774,15.000,16.100,20.000,92.9275495
111824861,"Beck, Tyler",A+,2021,MIN,14,11,58.1,2.47,0.2474175214,2.929,0.266667,0.148387,0.43871,0.322581,0.032787,0.068376,0.273504,13.200,34.400,34.500,93.23477
111833531,"Santillan, Pedro",Rk-,2021,LA,20,0,27.2,3.58,0.3624349593,4.548,0.303797,0.170732,0.52439,0.231707,0.12,0.097561,0.203252,6.000,21.100,30.300,89.12490690000001
111815817,"DeJuneas, Tommy",AA,2021,HOU,17,0,28.2,7.53,0.385889781,6.289,0.287356,0.212766,0.361702,0.276596,0.057143,0.192857,0.135714,12.400,22.500,18.400,91.87756990000001
111807794,"Alcantara, Jhosua",A,2021,ANA,20,0,27.1,3.62,0.3713178862,6.71,0.243902,0.25,0.5,0.142857,0.095238,0.121951,0.121951,8.300,21.600,30.600,87.6155125
111816457,"Yean, Eddy",A+,2022,PIT,40,0,50.1,6.97,0.3804012552,4.613,0.383562,0.245033,0.536424,0.172185,0.151515,0.1125,0.233333,9.900,25.000,27.700,90.18087599999998
111823463,"Southard, Jared",A,2022,ANA,6,0,5.1,15.19,0.6261945946,11.571,0.518519,0.275862,0.413793,0.275862,0.222222,0.108108,0.054054,20.700,8.500,36.200,94.658626
111812256,"Tavarez, Davis",A+,2022,BAL,1,0,1.0,0.0,0.0,1.64,0.0,0.0,0.5,0.5,0.0,0.0,0.333333,0.000,20.000,25.000,90.074084
111817294,"Holman, Grant",A,2021,OAK,6,4,15.0,4.2,0.3394213115,5.623,0.307692,0.142857,0.428571,0.285714,0.166667,0.065574,0.245902,16.700,23.600,24.800,89.634003
111838145,"Rodriguez, David",Rk-,2022,KC,9,0,18.2,3.86,0.3873469136,3.869,0.309091,0.22807,0.491228,0.22807,0.133333,0.083333,0.190476,9.000,21.300,29.200,87.05262
111812355,"Gonzalez, Jose",A,2021,CHC,23,12,74.0,5.84,0.3899806548,6.454,0.304147,0.219828,0.400862,0.25431,0.151163,0.127219,0.180473,18.300,22.300,23.000,93.66481590000001
111837900,"Cohn, Aaron",Rk,2021,OAK,5,1,8.2,6.23,0.3514052632,2.518,0.434783,0.375,0.458333,0.125,0.25,0.026316,0.342105,20.800,34.700,32.900,96.537892
111820558,"Lewis III, Jimmy",A,2022,LA,5,0,8.1,8.64,0.3858736842,7.551,0.2,0.190476,0.285714,0.428571,0.090909,0.236842,0.184211,14.300,32.800,22.200,83.06746569999999
3140,"Allie, Stetson",Rk,2021,TB,4,0,3.2,9.82,0.428947619,3.837,0.416667,0.333333,0.333333,0.083333,0.0,0.190476,0.238095,8.300,36.800,22.900,90.07807000000001
111827719,"Murphy, Ryan",Rk,2022,SF,1,0,1.0,9.0,0.8382,15.891,0.25,0.0,0.4,0.6,0.333333,0.0,0.0,40.000,0.000,27.300,95.9673624
111837937,"Gomez, Raimon",A,2022,NYM,22,2,43.2,3.92,0.3131208556,3.075,0.324561,0.25,0.362069,0.275862,0.022727,0.101064,0.265957,10.400,33.100,29.200,85.73991115159738
111824826,"Rodriguez, Samuel",Rk-,2022,CHC,8,3,15.1,11.15,0.4603647059,3.496,0.421053,0.3,0.525,0.125,0.142857,0.117647,0.188235,7.300,24.000,22.600,88.35339400000004
111837503,"Smith, Adam",A+,2022,SD,2,2,5.0,1.8,0.2614947368,2.679,0.25,0.083333,0.583333,0.25,0.0,0.105263,0.263158,8.300,21.400,29.400,96.34070309999998
