"ID","NAME","YEAR","LVL","TEAM","SWM","CHASERATE","K_RATE","BB_RATE"
"111820558","Lewis III, Jimmy",2022,A,LA,32.800,22.200,18.400,23.700
"111819686","Loeprich, Conner",2022,AA,BAL,27.800,28.000,24.500,9.000
"111824481","Spence, Mitch",2022,AAA,NYY,23.700,23.800,16.900,10.100
"111837370","Graceffo, Gordon",2022,AA,STL,26.900,31.600,19.000,6.900
"111837568","Rivera, Javier",2022,A+,CIN,31.700,30.200,31.300,9.000
"111823736","Hoopii, Anthony",2022,A,TEX,37.100,32.700,33.900,11.500
"111831189","Cobb, Casey",2022,A+,BOS,24.500,26.700,20.100,8.500
"111820368","Ruegger, Charlie",2022,A+,NYY,19.800,26.600,18.100,12.900
"111820972","Fitterer, Evan",2022,A+,MIA,23.400,24.800,17.400,10.100
"111811207","Kilkenny, Mitchell",2022,AA,COL,14.700,25.500,17.200,7.400
"111815934","Crawford, Kutter",2022,MLB,BOS,23.900,29.000,23.100,8.700
"111839945","Lin, Yu-Min",2022,A,ARI,26.900,31.600,36.100,10.300
"111837312","Watkins, Chase",2022,A,CHC,32.600,34.500,28.000,10.700
"111817705","Gordon, Tanner",2022,AA,ATL,21.200,31.400,21.300,8.200
"111811181","Dunshee, Parker",2022,AAA,OAK,23.800,25.500,17.400,10.600
"111793356","Cotton, Jharel",2022,AAA,MIN,32.300,33.200,36.400,9.100
"111837647","Dion, William",2022,A,CLE,29.800,30.800,30.700,6.700
"111808579","Erceg, Lucas",2022,AAA,MIL,24.700,23.100,25.600,12.000
"111818428","Theophile, Rodney",2022,A+,WAS,27.600,26.800,18.700,13.100
"111804829","Karcher, Ricky",2022,AAA,CIN,24.800,20.100,31.200,17.200
"111803692","Diaz, Alexis",2022,MLB,CIN,35.200,31.500,33.200,12.500
"111809476","Hernandez, Carlos",2022,MLB,KC,22.300,25.300,12.400,11.000
"111828942","Gonzalez, Angel",2022,A,CHC,31.100,26.000,18.600,15.900
"111797620","Arano, Victor",2022,MLB,WAS,27.500,41.200,23.600,6.000
"110294440","Sanchez, Aaron",2022,MLB,MIN,23.100,34.900,23.300,6.700
"111796266","Davidson, Tucker",2022,MLB,ANA,19.000,23.500,12.600,16.100
"110816963","Del Pozo, Miguel",2022,AAA,DET,36.800,38.400,30.600,7.700
"111793385","Giolito, Lucas",2022,MLB,CWS,25.600,30.000,25.500,8.600
"111823572","Manzo, Edgar",2022,A+,STL,17.900,32.400,17.800,10.100
"111802241","Pilkington, Konnor",2022,AAA,CLE,25.700,25.800,22.800,9.800
"111806072","Johnson, MD",2022,A+,MIA,29.400,30.800,28.200,6.100
"111845093","Sharp, Reese",2022,A,BAL,39.100,27.500,39.300,21.400
"111819349","Winans, Allan",2022,AA,ATL,26.300,37.700,20.000,5.000
"111344875","Barlow, Scott",2022,MLB,KC,30.500,36.000,25.500,6.600
"111826249","Rodriguez, Erick",2022,A,DET,31.300,31.300,24.900,8.100
"111806738","Schultz, Andrew",2022,AA,PHI,43.700,28.700,19.600,17.400
"111828164","Stone, Gavin",2022,AAA,LA,32.200,30.100,36.700,16.700
"110294040","Markel, Parker",2022,AAA,CWS,30.600,25.500,26.200,17.500
"111801073","Webb, Jacob",2022,AAA,ATL,32.300,31.300,29.200,4.500
"111820411","Mujica, Pablo",2022,Rk,KC,37.700,25.500,33.100,12.300
