"ID","MLBID","NAME","PITCHER_THROWS","LASTDAY","YEAR","AWAY_COMPETITION_LEVEL_ABBREV","TEAM","PITCHES"
"111820158",682810,"Andujar, Horacio",R,2022-08-23,2022,Rk,LA,322
"111825678",692483,"Caruci, Sergio",R,2022-08-19,2022,Rk,TOR,755
"111796342",650633,"King, Michael",R,2022-07-22,2022,MLB,NYY,779
"111833375",698986,"Leon, Jefrem",R,2022-07-28,2022,Rk-,WAS,507
"111831216",695835,"Nunez, Edwin",R,2022-08-18,2022,Rk,STL,416
"111840287",800241,"Diaz, Keninson",R,2022-08-22,2022,Rk-,NYY,343
"111818519",681860,"Dotson, Destin",L,2022-08-31,2022,A+,TEX,701
"111819808",661526,"Lingos, Eli",L,2022-08-27,2022,AA,CLE,482
"111824724",687014,"Avila, Nick",R,2022-07-08,2022,A+,SF,428
"111819369",681022,"Lambright, Austin",L,2022-08-21,2022,A+,BOS,354
"111808259",666168,"Thompson, Mason",R,2022-08-27,2022,AAA,WAS,243
"111820343",676974,"Meyer, Max",R,2022-07-09,2022,AAA,MIA,936
"111823566",686339,"Ortega, Wilmer",R,2022-08-23,2022,Rk,STL,490
"111811939",681006,"Simpson, Josh",L,2022-08-18,2022,AA,MIA,994
"111805724",666191,"Heiss, Brenden",R,2022-08-23,2022,Rk,SD,294
"111810834",659418,"Skirrow, Noah",R,2022-08-30,2022,AA,PHI,1680
"111801222",658551,"Fernandez, Junior",R,2022-07-26,2022,MLB,STL,266
"111801294",658655,"Linarez, Jesus",R,2022-08-31,2022,A+,TEX,940
"111839747",805056,"Dugarte, Diego",R,2022-08-19,2022,Rk-,CHC,516
"111796595",642758,"Acevedo, Domingo",R,2022-08-30,2022,MLB,OAK,893
"111843458",805046,"Gil, Franklin",R,2022-08-22,2022,Rk-,HOU,238
"111813536",682723,"Lopez, Luis",R,2022-08-20,2022,Rk-,MIA,231
"111823710",694395,"MacLean, Dylan",L,2022-08-30,2022,A,TEX,382
"111827327",692624,"Martinez, Alex",R,2022-08-20,2022,A,ANA,469
"111817792",682121,"Tobey, Jared",L,2022-08-21,2022,A+,DET,485
"111792212",572125,"Selman, Sam",L,2022-08-09,2022,MLB,OAK,245
"3981",592791,"Taillon, Jameson",R,2022-08-30,2022,MLB,NYY,2311
"111792484",622072,"Wood, Alex",L,2022-08-31,2022,MLB,SF,2242
"111795618",601713,"Pivetta, Nick",R,2022-08-28,2022,MLB,BOS,2475
"111818738",667280,"Misiaszek, Andrew",L,2022-08-31,2022,AAA,CLE,348
"111818502",670389,"Alvarez, Nelson",R,2022-08-30,2022,A+,NYY,780
"111819354",682551,"Alesandro, Ronaldo",R,2022-08-21,2022,A,ATL,546
"111820180",682825,"Mey, Luis",R,2022-08-31,2022,A,CIN,718
"111817452",682755,"Roman, Ronald",L,2022-08-19,2022,Rk-,NYY,266
"111837358",694787,"Burnette, Jimmy",L,2022-08-30,2022,AA,TOR,601
"111815407",676005,"De Paula, Reinaldo",R,2022-08-23,2022,A,LA,444
"111837268",702785,"Otano, Peniel",R,2022-08-30,2022,A,ARI,1408
"111829147",694053,"Bain, Max",R,2022-08-12,2022,AA,CHC,785
"111826267",691260,"Cruz, Cristopher",R,2022-08-19,2022,Rk,PIT,510
"110092061",608652,"Farrell, Luke",R,2021-10-01,2021,MLB,MIN,480
"111802037",659262,"Espinoza, Anderson",R,2021-07-28,2021,A+,SD,568
"109501882",543243,"Gray, Sonny",R,2021-09-29,2021,MLB,CIN,2258
"110295118",572888,"Greene, Shane",R,2021-07-30,2021,MLB,ATL,353
"111817123",678429,"Espinoza, Manuel",R,2021-09-16,2021,A,CHC,1663
"111810965",672405,"Taveras, Leonardo",R,2021-09-18,2021,A+,STL,1016
"111792211",571670,"Floro, Dylan",R,2021-10-03,2021,MLB,MIA,1100
"111825885",692543,"Basora, Victor",R,2022-08-20,2022,Rk-,ARI,557
"111799491",650382,"Hernandez, Darwinzon",L,2022-08-30,2022,AAA,BOS,510
"111837186",702873,"Rosario, Hansel",R,2022-08-18,2022,Rk-,NYY,483
"111798531",643230,"Brault, Steven",L,2022-08-14,2022,AAA,CHC,108
"111803491",657031,"Taylor, Josh",L,2022-07-10,2022,AAA,BOS,120
"111828825",693748,"Palma, Wilker",R,2022-08-23,2022,Rk-,TEX,562
"111807459",669942,"Donato, Chad",R,2022-08-27,2022,AAA,HOU,1698
"111840419",800211,"Perez, Marlon",L,2022-08-30,2022,A,WAS,643
"111837681",671220,"Troye, Christopher",R,2022-08-28,2022,A,BOS,555
"111799919",656945,"Scott, Tanner",L,2022-08-31,2022,MLB,MIA,1066
"111837535",701318,"Cardona, Ryan",R,2022-08-30,2022,A,CIN,1268
"111826827",690369,"McGuigan, Brendan",R,2022-07-31,2022,A+,SEA,423
"76119377",518748,"Grimm, Justin",R,2021-09-29,2021,AAA,SEA,842
"111797687",642547,"Peralta, Freddy",R,2021-09-26,2021,MLB,MIL,2375
"111828584",693787,"Ramirez, Ronny",L,2022-08-16,2022,Rk-,PHI,343
