"playerid","ip","name","projyear","percentile","war"
"53361",123.7858,Alex Cobb,2023.0,pct80,2.05518692853848
"111811567",21.9247484909457,Karlos Morales,2023.0,pct20,-0.403991674425411
"4805",47.9316633266533,Aaron Loup,2023.0,pct20,-0.279533515540137
"4805",49.1423153692615,Aaron Loup,2023.0,pct50,0.128488191253102
"4805",50.5492,Aaron Loup,2023.0,pct80,0.531469756460332
"36196",49.5716566866267,Jake McGee,2023.0,pct20,-0.333607494466618
"36196",51.0626506024096,Jake McGee,2023.0,pct50,0.0962965146323972
"36196",52.3856,Jake McGee,2023.0,pct80,0.515304558865869
"111811567",23.4236472945892,Karlos Morales,2023.0,pct50,-0.0844481164328785
"111811567",24.4733333333333,Karlos Morales,2023.0,pct80,0.195651331875846
"32822",19.4073852295409,Cole Hamels,2023.0,pct20,-0.258631145524875
"32822",20.4159362549801,Cole Hamels,2023.0,pct50,0.0344893749165709
"32822",21.2238866396761,Cole Hamels,2023.0,pct80,0.294735527343947
"35957",25.8144288577154,Gio Gonzalez,2023.0,pct20,-0.346123142559265
"35957",26.9701195219124,Gio Gonzalez,2023.0,pct50,-0.0065968662539139
"35957",28.1571142284569,Gio Gonzalez,2023.0,pct80,0.299709258852255
"111798934",28.0389898989899,Ricardo Sanchez,2023.0,pct20,-0.321475465688583
"111798934",29.0731610337972,Ricardo Sanchez,2023.0,pct50,0.00405346515589537
"111798934",30.2320564516129,Ricardo Sanchez,2023.0,pct80,0.316922669149422
"111805875",19.9345381526104,Juan Diaz,2023.0,pct20,-0.341645366050076
"111805875",20.8376,Juan Diaz,2023.0,pct50,-0.0580914923718782
"111805875",21.9620481927711,Juan Diaz,2023.0,pct80,0.202203534009501
"111807041",27.4199600798403,Brailyn Marquez,2023.0,pct20,-0.312453417693524
"111807041",28.5824,Brailyn Marquez,2023.0,pct50,0.0207770004657434
"111807041",29.7432270916335,Brailyn Marquez,2023.0,pct80,0.33647913603073
"111808962",18.9790419161677,Jacob Heatherly,2023.0,pct20,-0.211957855221159
"111808962",20.2012048192771,Jacob Heatherly,2023.0,pct50,0.0886749836289291
"111808962",21.152380952381,Jacob Heatherly,2023.0,pct80,0.364591725467965
"4453",126.4428,Steve Matz,2023.0,pct50,1.50314166666656
"111813657",14.2738,Niklas Rimmel,2023.0,pct20,-0.390491924441242
"111813657",15.3718,Niklas Rimmel,2023.0,pct50,-0.100596090441612
"111813657",16.2358870967742,Niklas Rimmel,2023.0,pct80,0.164751790615533
"111819091",23.1105788423154,Zachary Hammer,2023.0,pct20,-0.766264824677446
"111819091",24.6828685258964,Zachary Hammer,2023.0,pct50,-0.375394068906977
"111819091",26.2086,Zachary Hammer,2023.0,pct80,-0.0240596402787386
"924",141.0646,Justin Verlander,2023.0,pct20,0.572670547941316
"924",142.9146,Justin Verlander,2023.0,pct50,1.30564360602612
"924",145.4296,Justin Verlander,2023.0,pct80,2.03009751088504
"29371",22.2726,Anibal Sanchez,2023.0,pct20,-0.307701968612766
"29371",23.4108,Anibal Sanchez,2023.0,pct50,-0.0012531756186367
"29371",24.315291750503,Anibal Sanchez,2023.0,pct80,0.269377322677377
"31134",26.8645290581162,Edinson Volquez,2023.0,pct20,-0.383138065527797
"31134",28.0511022044088,Edinson Volquez,2023.0,pct50,-0.0508558697219333
"31134",29.2113545816733,Edinson Volquez,2023.0,pct80,0.248822136824879
"52313",16.4708835341365,Ivan Nova,2023.0,pct20,-0.293534260452783
"52313",17.4470824949698,Ivan Nova,2023.0,pct50,-0.0246357655052592
"52313",18.2243512974052,Ivan Nova,2023.0,pct80,0.216141920885546
