"PlayerID","DisplayLastFirstName","Org","PlayerRank","YEAR","Bats","Throws","PositionDescription","Age","Source"
47186,"Campusano, Luis",SD,3,2022,R,R,C,36,BaseballProspectus
111716367,"Castillo, Ivan",KC,46,2022,S,R,SS,27,Fangraphs
111766238,"Szapucki, Thomas",NYM,20,2022,R,L,LHS,26,Fangraphs
111766587,"Hamilton, Ian",MIN,29,2022,R,R,RHR,27,BaseballAmerica
111781217,"Thompson, Cory",STL,27,2022,R,R,RHR,27,Fangraphs
111792768,"Robert, Daniel",TEX,41,2022,L,R,RHR,28,Fangraphs
111792914,"Thomas, Cody",OAK,28,2022,L,R,RF,27,Fangraphs
111792914,"Thomas, Cody",OAK,24,2022,L,R,RF,27,MLBPipeline
111793188,"Ryan, Ryder",TEX,42,2022,R,R,RHR,27,Fangraphs
111793209,"Barrera, Luis",OAK,31,2022,L,L,CF,26,Fangraphs
111793209,"Barrera, Luis",OAK,20,2022,L,L,CF,26,BaseballAmerica
111793218,"Fernandez, Julian",COL,46,2022,R,R,RHR,26,Fangraphs
111793243,"Ozuna, Fernery",TEX,44,2022,R,R,RHP,26,Fangraphs
111796079,"Mushinski, Parker",HOU,19,2022,L,L,LHS,26,Fangraphs
111796266,"Davidson, Tucker",ATL,5,2022,L,L,LHS,26,MLBPipeline
111796266,"Davidson, Tucker",ATL,12,2022,L,L,LHS,26,Fangraphs
111796266,"Davidson, Tucker",ATL,9,2022,L,L,LHS,26,BaseballAmerica
111796266,"Davidson, Tucker",ATL,9,2022,L,L,LHS,26,BaseballProspectus
111796420,"Siri, Jose",HOU,9,2022,R,R,CF,27,BaseballProspectus
111796515,"Holmes, Grant",OAK,47,2022,L,R,RHS,26,Fangraphs
111796528,"Montes de Oca, Bryce",NYM,30,2022,R,R,RHP,26,Fangraphs
111796606,"Acosta, Victor",SD,15,2022,R,R,LF,26,Fangraphs
111796606,"Acosta, Victor",SD,11,2022,R,R,LF,26,BaseballAmerica
111796606,"Acosta, Victor",SD,9,2022,R,R,LF,26,MLBPipeline
111796861,"Falter, Bailey",PHI,20,2022,R,L,LHS,25,BaseballAmerica
111796910,"Bautista, Felix",BAL,33,2022,R,R,RHR,27,Fangraphs
111797294,"Vargas, Emilio",CWS,26,2022,R,R,RHS,26,MLBPipeline
111797982,"Severino, Anderson",CWS,19,2022,L,L,LHR,27,MLBPipeline
111798016,"Hughes, Brandon",CHC,19,2022,S,L,LHR,26,BaseballAmerica
111798073,"Schmidt, Clarke",NYY,17,2022,R,R,RHS,26,BaseballAmerica
111798073,"Schmidt, Clarke",NYY,10,2022,R,R,RHS,26,BaseballProspectus
111798106,"McKay, Brendan",TB,45,2022,L,L,LHS,26,Fangraphs
111798117,"Kolek, Stephen",SEA,26,2022,R,R,RHS,25,MLBPipeline
111798312,"McClure, Kade",CWS,27,2022,R,R,RHS,26,MLBPipeline
111798312,"McClure, Kade",CWS,23,2022,R,R,RHS,26,Fangraphs
111798418,"Martin, Corbin",ARI,21,2022,R,R,RHS,26,BaseballAmerica
111798419,"Deichmann, Greg",CHC,53,2022,L,R,RF,27,Fangraphs
111798515,"Topa, Justin",MIL,32,2022,R,R,RHR,31,Fangraphs
111798975,"Sanchez, Ali",DET,24,2022,R,R,C,25,Fangraphs
111799010,"Herrera, Jose",ARI,33,2022,S,R,C,25,Fangraphs
111799014,"Diaz, Jhonathan",LAA,29,2022,L,L,LHS,25,Fangraphs
111799032,"Aybar, Yoan",CWS,32,2022,L,L,LHR,25,Fangraphs
111799049,"Duarte, Daniel",CIN,28,2022,R,R,RHR,25,Fangraphs
111799072,"Adolfo, Micker",CWS,13,2022,R,R,DH,25,MLBPipeline
111799072,"Adolfo, Micker",CWS,10,2022,R,R,DH,25,BaseballProspectus
111799160,"Morris, Cody",CLE,16,2022,R,R,RHS,25,MLBPipeline
111799160,"Morris, Cody",CLE,22,2022,R,R,RHS,25,Fangraphs
111799160,"Morris, Cody",CLE,23,2022,R,R,RHS,25,BaseballAmerica
111799325,"Fairchild, Stuart",CIN,34,2022,R,R,CF,26,Fangraphs
111799429,"Pozo, Yohel",TEX,33,2022,R,R,C,25,Fangraphs
111799620,"Martinez, Orlando",LAA,18,2022,L,L,CF,24,Fangraphs
111799620,"Martinez, Orlando",LAA,20,2022,L,L,CF,24,BaseballAmerica
111799695,"Palacios, Jermaine",MIN,28,2022,R,R,"3B",26,BaseballAmerica
111799695,"Palacios, Jermaine",MIN,26,2022,R,R,"3B",26,MLBPipeline
111799709,"Perez, Franklin",DET,29,2022,R,R,RHS,24,Fangraphs
111799823,"Castillo, Maximo",TOR,14,2022,R,R,RHS,23,BaseballAmerica
111799830,"Guzman, Jeison",ARI,22,2022,S,R,SS,23,MLBPipeline
111799839,"Mendoza, Harvin",CWS,19,2022,L,L,"1B",23,Fangraphs
111799897,"Honeywell, Brent",OAK,26,2022,R,R,RHS,27,Fangraphs
111799953,"Pinto, Rene",TB,18,2022,R,R,C,25,Fangraphs
111799953,"Pinto, Rene",TB,18,2022,R,R,C,25,BaseballAmerica
111799953,"Pinto, Rene",TB,25,2022,R,R,C,25,MLBPipeline
111800514,"Amaya, Miguel",CHC,13,2022,R,R,C,23,MLBPipeline
111800514,"Amaya, Miguel",CHC,11,2022,R,R,C,23,BaseballAmerica
111800514,"Amaya, Miguel",CHC,12,2022,R,R,C,23,Fangraphs
111800563,"Holloway, Jordan",MIA,17,2022,R,R,RHS,26,BaseballAmerica
111800791,"Jackson, Andre",LAD,17,2022,R,R,RHS,26,BaseballAmerica
111800791,"Jackson, Andre",LAD,18,2022,R,R,RHS,26,Fangraphs
111800791,"Jackson, Andre",LAD,11,2022,R,R,RHS,26,MLBPipeline
111800791,"Jackson, Andre",LAD,10,2022,R,R,RHS,26,BaseballProspectus
111800875,"Perez, Carlos",CWS,26,2022,R,R,C,25,BaseballAmerica
111801239,"Sands, Cole",MIN,17,2022,R,R,RHS,25,BaseballAmerica
111801239,"Sands, Cole",MIN,14,2022,R,R,RHS,25,Fangraphs
111801239,"Sands, Cole",MIN,14,2022,R,R,RHS,25,MLBPipeline
111801244,"Leeper, Ben",CHC,26,2022,R,R,RHP,25,MLBPipeline
111801244,"Leeper, Ben",CHC,17,2022,R,R,RHP,25,Fangraphs
111801244,"Leeper, Ben",CHC,27,2022,R,R,RHP,25,BaseballAmerica
111801289,"Feltner, Ryan",COL,12,2022,R,R,RHS,25,BaseballAmerica
111801289,"Feltner, Ryan",COL,21,2022,R,R,RHS,25,Fangraphs
111801312,"Beer, Seth",ARI,16,2022,L,R,"1B",25,Fangraphs
111801312,"Beer, Seth",ARI,10,2022,L,R,"1B",25,MLBPipeline
