"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111792980,"Hader, Josh",MLB,2022,"MIL, SD",45,0,39.2,6.35,0.3504544444,4.068,0.378049,0.277778,0.288889,0.344444,0.205128,0.105556,0.377778,22.600,34.900,29.200,85.72522955863798
111843621,"Mora, Kyle",Rk,2022,ARI,12,0,24.1,2.22,0.3131257426,2.069,0.344262,0.2,0.381818,0.345455,0.095238,0.039604,0.316832,5.600,33.500,29.700,84.759875
111766238,"Szapucki, Thomas",AAA,2022,"NYM, SF",22,16,68.1,3.29,0.3169666667,3.268,0.354839,0.1875,0.4375,0.3,0.083333,0.104167,0.322917,18.800,32.400,26.200,90.40241
111835719,"Silverio, Phili",Rk,2022,MIL,17,0,21.2,7.48,0.3890178218,4.045,0.375,0.207547,0.509434,0.188679,0.133333,0.174757,0.252427,1.900,28.200,18.600,84.50124699999999
109502352,"Armstrong, Shawn",MLB,2022,"MIA, TB",40,1,47.2,4.72,0.3462924171,3.522,0.357664,0.244755,0.454545,0.244755,0.139535,0.056872,0.246445,19.000,24.300,34.100,89.89339649914521
111798636,"Curtis, Keegan",AA,2022,"ARI, LA",27,1,30.0,8.7,0.3976527027,6.278,0.351064,0.178218,0.405941,0.346535,0.146341,0.114865,0.195946,22.000,23.300,24.800,90.52987000000002
111807319,"Simonelli, Anthony",Rk,2021,KC,6,1,9.2,0.93,0.2560815789,3.776,0.230769,0.148148,0.481481,0.185185,0.1,0.026316,0.236842,11.100,23.100,34.900,86.688042
2937,"Vincent, Nick",AAA,2022,"ATL, DET",37,1,41.0,2.85,0.3120628743,3.258,0.342857,0.234234,0.36036,0.333333,0.113636,0.047904,0.293413,13.600,23.900,33.700,89.07048660000002
111817452,"Roman, Ronald",Rk-,2022,NYY,10,0,9.1,12.54,0.5252275862,9.44,0.32,0.148148,0.37037,0.407407,0.153846,0.327586,0.189655,3.700,28.600,25.700,83.875414
111819807,"Lleras, Yeankrlos",Rk,2021,BAL,16,1,35.0,6.69,0.374007362,3.52,0.361111,0.166667,0.448718,0.269231,0.04,0.103659,0.207317,16.700,24.800,27.500,94.212291
111826279,"Martinez, Carlos",Rk-,2021,LA,15,3,26.2,3.04,0.339704918,3.773,0.283582,0.237288,0.40678,0.186441,0.0,0.163934,0.245902,3.400,24.000,24.900,83.360428
111841929,"Aguilar, Luis",Rk-,2022,ARI,15,1,26.1,5.47,0.3048461538,3.988,0.235294,0.102941,0.661765,0.235294,0.0,0.153846,0.188034,4.300,27.400,21.600,87.28144499999999
110295779,"Sadzeck, Connor",AAA,2022,"MIL, WAS",33,0,38.2,1.63,0.2893803797,3.917,0.247191,0.182796,0.354839,0.344086,0.093023,0.106918,0.289308,14.000,24.700,25.900,88.2435256
111822734,"Vasquez, Jordany",Rk-,2021,BAL,13,12,52.1,2.92,0.2908511211,3.249,0.243056,0.166667,0.530303,0.257576,0.0,0.116071,0.209821,3.800,27.100,27.900,87.19391999999999
